Name,Profession,Degree,Field,Institution,Graduation Year,Country,University Global Ranking,GPA (or Equivalent),Scholarship/Award
Bob Iger,Media Executive,Bachelor,Television & Radio,Ithaca College,1973,USA,N/A,3.6,Honorary Degree
Reshma Saujani,Nonprofit Executive,Juris Doctor,Law,Yale Law School,2002,USA,1,3.8,Paul & Daisy Soros Fellow
Sal Khan,Education Executive,Master/MBA,Engineering/Business,MIT/Harvard,2003,USA,1,4.0,Presidential Scholar
Padma Lakshmi,TV Host/Author,Bachelor,Theatre Arts,Clark University,1992,USA,N/A,3.7,Fulbright Scholarship
Hamdi Ulukaya,Business Executive,MBA,Business,SUNY Albany,1997,USA,N/A,3.6,Ernst & Young Award
Mary Barra,Business Executive,MBA,Business,Stanford University,1990,USA,4,3.9,GM Fellowship
Ken Jeong,Actor/Comedian,MD,Medicine,UNC Chapel Hill,1995,USA,28,3.9,Internal Medicine Award
Andrea Jung,Business Executive,Bachelor,English Literature,Princeton University,1979,USA,6,N/A,Princeton Scholar
John Legend,Musician,Bachelor,English,University of Pennsylvania,1999,USA,8,3.9,University Scholar
Anne Wojcicki,Tech CEO,Bachelor,Biology,Yale University,1996,USA,3,3.8,Research Excellence Award
Fareed Zakaria,Journalist,PhD,Political Science,Harvard University,1993,USA,3,N/A,Phi Beta Kappa
Mindy Kaling,Actor/Writer,Bachelor,Playwriting,Dartmouth College,2001,USA,12,3.7,Eleanor Frost Prize
Kumail Nanjiani,Actor/Comedian,Bachelor,Computer Science/Philosophy,Grinnell College,2001,USA,N/A,3.6,Comedy Award
Ava DuVernay,Film Director,Bachelor,English/African American Studies,UCLA,1995,USA,15,3.7,Directors Guild Award
Tan France,TV Host/Designer,Bachelor,Fashion Management,Doncaster College,2000,UK,N/A,N/A,Fashion Excellence Award
Chimamanda Adichie,Author,Master,Creative Writing,Johns Hopkins University,2003,USA,10,3.9,MacArthur Fellowship
Trevor Noah,Comedian,None,N/A,N/A,N/A,South Africa,N/A,N/A,Emmy Award Winner
Reshma Shetty,Actor/Singer,Master,Music,University of Kentucky,2003,USA,N/A,3.8,Opera Excellence Award
Dax Shepard,Actor/Podcaster,Bachelor,Anthropology,UCLA,1997,USA,15,3.6,Comedy Award
Mayim Bialik,Actor/Scientist,PhD,Neuroscience,UCLA,2007,USA,15,4.0,Neuroscience Fellow
Andy Samberg,Comedian/Actor,Bachelor,Experimental Film,NYU Tisch,2000,USA,27,3.7,Comedy Award
Natalie Portman,Actor,Bachelor,Psychology,Harvard University,2003,USA,3,3.9,Research Award
Warren Buffett,Investor,Master,Economics,Columbia University,1951,USA,7,3.9,N/A
Larry Ellison,Entrepreneur,Dropout,Computer Science,University of Chicago,N/A,USA,10,N/A,N/A
Michael Dell,Entrepreneur,Dropout,Biology,University of Texas,N/A,USA,43,N/A,N/A
Steve Ballmer,Entrepreneur,Bachelor,Mathematics,Harvard University,1977,USA,3,3.8,Academic Excellence
Phil Knight,Entrepreneur,MBA,Business,Stanford University,1962,USA,2,3.7,N/A
Michael Bloomberg,Entrepreneur,MBA,Business,Harvard University,1966,USA,3,3.8,Merit Award
Charles Koch,Entrepreneur,Master,Engineering,MIT,1963,USA,1,3.9,Research Grant
David Koch,Entrepreneur,Master,Engineering,MIT,1963,USA,1,3.9,Research Grant
Jim Walton,Business,Bachelor,Business Administration,University of Arkansas,1971,USA,597,3.5,N/A
Mukesh Ambani,Entrepreneur,MBA,Business,Stanford University,1980,USA,2,3.8,Merit Scholarship
Gautam Adani,Entrepreneur,Dropout,Commerce,Gujarat University,N/A,India,N/A,N/A,N/A
Bernard Arnault,Entrepreneur,Engineering,Engineering,École Polytechnique,1971,France,60,3.9,Academic Excellence
Carlos Slim,Entrepreneur,Bachelor,Engineering,UNAM,1961,Mexico,122,3.8,Academic Merit
Francoise Meyers,Business,Bachelor,Business,University of Paris,1975,France,65,3.7,N/A
Larry Fink,Finance,MBA,Business,UCLA,1976,USA,15,3.9,Academic Excellence
Stephen Schwarzman,Finance,MBA,Business,Harvard University,1972,USA,3,3.9,Merit Award
Jim Simons,Finance,PhD,Mathematics,UC Berkeley,1962,USA,4,4.0,Research Fellowship
Len Blavatnik,Entrepreneur,Master,Computer Science,Columbia University,1981,USA,7,3.9,Merit Scholarship
Jacqueline Mars,Business,Bachelor,Anthropology,Bryn Mawr College,1961,USA,27,3.7,N/A
Gina Rinehart,Business,Dropout,Economics,University of Sydney,N/A,Australia,N/A,N/A,N/A
Shiv Nadar,Entrepreneur,Engineering,Electrical Engineering,PSG College of Technology,1967,India,N/A,3.8,Merit Scholarship
Klaus Schwab,Business,PhD,Economics,University of Fribourg,1967,Switzerland,N/A,4.0,Research Grant
Giorgio Armani,Fashion,Dropout,Medicine,University of Milan,N/A,Italy,N/A,N/A,N/A
Masayoshi Son,Entrepreneur,Bachelor,Economics,UC Berkeley,1980,USA,4,3.8,Merit Scholarship
Zhang Yiming,Entrepreneur,Bachelor,Software Engineering,Nankai University,2005,China,N/A,3.9,Academic Excellence
Robin Li,Entrepreneur,Master,Computer Science,SUNY Buffalo,1994,USA,89,4.0,Research Grant
Lei Jun,Entrepreneur,Bachelor,Computer Science,Wuhan University,1991,China,N/A,3.8,Merit Award
Richard Liu,Entrepreneur,Bachelor,Sociology,Renmin University,1996,China,N/A,3.7,N/A
Pony Ma,Entrepreneur,Bachelor,Computer Science,Shenzhen University,1993,China,N/A,3.8,Merit Award
Colin Huang,Entrepreneur,Master,Computer Science,University of Wisconsin,2004,USA,28,4.0,Research Fellowship
William Ding,Entrepreneur,Bachelor,Computer Science,University of Electronic Science,1993,China,N/A,3.9,Academic Excellence
Wang Xing,Entrepreneur,Master,Computer Science,University of Delaware,2005,USA,137,3.9,Merit Scholarship
Tadashi Yanai,Fashion,Bachelor,Economics,Waseda University,1971,Japan,N/A,3.6,N/A
Takemitsu Takizaki,Entrepreneur,Bachelor,Engineering,Osaka Institute of Technology,1965,Japan,N/A,3.7,Merit Award
Qin Yinglin,Business,Master,Animal Science,China Agricultural University,1995,China,N/A,3.8,Research Grant
He Xiangjian,Entrepreneur,No Degree,N/A,N/A,N/A,China,N/A,N/A,N/A
Lu Xiangyang,Entrepreneur,Bachelor,Engineering,South China University,1983,China,N/A,3.7,N/A
Zhang Jindong,Business,Bachelor,Management,Nanjing University,1995,China,N/A,3.6,N/A
Zhou Yahui,Entrepreneur,Bachelor,mechanical engineering,Tsinghua University,1999 ,China,N/A,3.7,N/A
Carlos Slim Helu,Business,Bachelor,Engineering,Universidad Nacional Autonoma de Mexico,1961,Mexico,122,3.8,N/A
Alice Walton,Business,Bachelor,Economics,Trinity College,1971,USA,3,3.7,N/A
Francoise Bettencourt Meyers,Business,Bachelor,Philosophy,University of Paris,1975,France,35,3.8,N/A
Zhong Shanshan,Business,Bachelor,Medicine,Hangzhou Normal University,1982,China,N/A,3.6,N/A
Mark Mateschitz,Business,Bachelor,Economics,Fachhochschule Salzburg,2018,Austria,N/A,3.8,N/A
Ken Griffin,Finance,Bachelor,Economics,Harvard University,1989,USA,3,3.8,N/A
Eduardo Saverin,Entrepreneur,Bachelor,Economics,Harvard University,2006,USA,3,3.7,N/A
Vagit Alekperov,Business,Bachelor,Engineering,Azarbayjan State Oil Academy,1975,Azerbaijan,N/A,3.6,N/A
Stefan Quandt,Business,Bachelor,Engineering,Technical University of Darmstadt,1994,Germany,N/A,3.7,N/A
Susanne Klatten,Business,Bachelor,Economics,Technical University of Munich,1993,Germany,N/A,3.8,N/A
Cyrus Poonawalla,Business,Bachelor,Pharmacy,University of Pune,1966,India,N/A,3.7,N/A
Eyal Ofer,Business,Bachelor,Maritime Law,University of London,1970,Israel,N/A,N/A,N/A	
Changpeng Zhao,Entrepreneur,Bachelor,Software Engineer,McGill University,1997,China,30,N/A,N/A	
Thomas Peterffy,Entrepreneur,N/A,N/A,N/A,USA(residence)/ Hungary (origin),N/A,N/A,N/A,N/A
Jeff Yass,Entrepreneur,Bachelor,Mathematics & Economics,Binghamton University,1979,USA,1200,N/A,N/A
Ma Huateng,Business,Bachelor,Computer Science,Shenzhen University,1993,China,801,N/A,N/A
Dieter Schwarz,Business,N/A,N/A,N/A,N/A,Germany,N/A,N/A,N/A	
Alain Wertheimer,Businessman (Co-owner of Chanel),N/A,N/A,N/A,N/A,France,N/A,N/A,N/A
Andrea Pignataro,Business,Bachelor,Financier,N/A,N/A,Italy/UK,N/A,N/A,N/A
Melinda French Gates,Philanthropist,MBA and BA,Computer Science and Economics,Duke University,1986, USA,,N/A,Duke University Distinguished Alumna Award
Vladimir Potanin,Business,Specialist Degree,International Economic Relations,Moscow State Institute of International Relations (MGIMO),1983,Russia,366,N/A,French Legion of Honour
Prajogo Pangestu,Business,N/A,N/A,N/A,N/A,Indonesia,N/A,N/A,N/A
Henry Samueli,Engineer and Businessman,Ph.D.,Electrical Engineering,University of California,1980,USA,46,N/A,National Medal of Technology and Innovation (2011)
Eric Schmidt,Businessman and Software Engineer,Ph.D.,Electrical Engineering and Computer Science,University of California,1982,USA,10,N/A,National Academy of Engineering Member/ Marconi Prize (2012)
Daniel Gilbert,Psychologist,Ph.D.,Psychology,Yale University,1984,USA,14,N/A,American Psychological Association Distinguished Scientific Contributions Award
Aliko Dangote,Business,Bachelor's Degree,Business Administration,Al-Azhar University,1977,Nigeria,N/A,N/A,N/A
Gennady Timchenko,Business,N/A,N/A,N/A,N/A,Indonesia,N/A,N/A,N/A
Idan Ofer,Business,Bachelor's Degree,Economics and Management,London School of Economics,1987,United Kingdom,49,N/A,N/A
Albert Einstein,Theoretical Physicist,Doctor of Philosophy,Physics,University of Zurich,1905,Switzerland,58,NaN,Nobel Prize in Physics 1921
Richard Feynman,Physicist,Doctor of Philosophy,Physics,Princeton University,1942,USA,16,NaN,Nobel Prize in Physics 1965
James Watson,Molecular Biologist,Doctor of Philosophy,Zoology,Indiana University,1950,USA,301-350,NaN,Nobel Prize in Physiology 1962
Francis Crick,Molecular Biologist,Doctor of Philosophy,Physics,University College London,1954,UK,9,NaN,Nobel Prize in Physiology 1962
Rosalind Franklin,Chemist,Doctor of Philosophy,Physical Chemistry,University of Cambridge,1945,UK,4,NaN,Research Fellow
Linus Pauling,Chemist,Doctor of Philosophy,Chemistry,California Institute of Technology,1925,USA,7,NaN,Nobel Prize in Chemistry 1954
Dorothy Hodgkin,Chemist,Doctor of Philosophy,Chemistry,University of Cambridge,1937,UK,4,NaN,Nobel Prize in Chemistry 1964
Barbara McClintock,Geneticist,Doctor of Philosophy,Botany,Cornell University,1927,USA,21,NaN,Nobel Prize in Physiology 1983
Carl Sagan,Astronomer,Doctor of Philosophy,Astronomy and Astrophysics,University of Chicago,1960,USA,10,NaN,Pulitzer Prize
Jane Goodall,Primatologist,Doctor of Philosophy,Ethology,University of Cambridge,1965,UK,4,NaN,UN Messenger of Peace
Steve Jobs,Entrepreneur,Dropped Out,Liberal Arts,Reed College,1972,USA,NaN,NaN,National Medal of Technology
Jack Dorsey,Tech Entrepreneur,Dropped Out,Computer Science,New York University,1997,USA,38,NaN,Innovator Under 35
Jan Koum,Tech Entrepreneur,Dropped Out,Computer Science,San Jose State University,1997,USA,NaN,NaN,Technology Pioneer
Travis Kalanick,Entrepreneur,Dropped Out,Computer Engineering,University of California Los Angeles,1998,USA,14,NaN,Time 100
Brian Chesky,Tech Entrepreneur,Bachelor of Fine Arts,Industrial Design,Rhode Island School of Design,2004,USA,NaN,3.6,Presidential Ambassador
Drew Houston,Tech Entrepreneur,Bachelor of Science,Computer Science,Massachusetts Institute of Technology,2005,USA,1,NaN,Forbes 30 Under 30
Evan Spiegel,Tech Entrepreneur,Bachelor of Science,Product Design,Stanford University,2012,USA,3,NaN,Youngest Billionaire
Whitney Wolfe Herd,Tech Entrepreneur,Bachelor of Arts,International Studies,Southern Methodist University,2011,USA,NaN,3.5,Forbes 30 Under 30
Howard Schultz,Business Leader,Bachelor of Science,Communications,Northern Michigan University,1975,USA,NaN,NaN,Business Leader Award
Ginni Rometty,Tech Executive,Bachelor of Science,Computer Science,Northwestern University,1979,USA,27,3.7,General Motors Scholarship
Doug McMillon,Business Executive,Master of Business Administration,Business Administration,University of Tulsa,1991,USA,NaN,3.6,Dean's List
Brian Moynihan,Banking Executive,Juris Doctor,Law,University of Notre Dame,1984,USA,227,NaN,Law Review Editor
Jamie Dimon,Banking Executive,Master of Business Administration,Business Administration,Harvard Business School,1982,USA,2,NaN,Baker Scholar
Lloyd Blankfein,Banking Executive,Bachelor of Arts,History,Harvard University,1975,USA,5,NaN,Cum Laude
Ruth Porat,Business Executive,Master of Business Administration,Finance,Wharton School,1987,USA,13,3.9,Palmer Scholar
Rosalind Brewer,Business Executive,Bachelor of Science,Chemistry,Spelman College,1984,USA,NaN,3.5,Dean's Award
John F Kennedy,Politician,Bachelor of Arts,Government,Harvard University,1940,USA,5,NaN,Cum Laude
Bill Clinton,Politician,Bachelor of Science,Foreign Service,Georgetown University,1968,USA,231,NaN,Rhodes Scholar
Hillary Clinton,Politician,Juris Doctor,Law,Yale Law School,1973,USA,11,NaN,Yale Review Editor
George W Bush,Politician,Master of Business Administration,Business Administration,Harvard Business School,1975,USA,2,NaN,Alumni
Ronald Reagan,Politician,Bachelor of Arts,Economics and Sociology,Eureka College,1932,USA,NaN,NaN,Athletic Scholarship
Jimmy Carter,Politician,Bachelor of Science,Nuclear Physics,United States Naval Academy,1946,USA,NaN,3.9,Nobel Peace Prize 2002
Margaret Thatcher,Politician,Bachelor of Science,Chemistry,University of Oxford,1947,UK,4,NaN,Prime Minister
Tony Blair,Politician,Bachelor of Arts,Law,University of Oxford,1975,UK,4,NaN,Prime Minister
Emmanuel Macron,Politician,Master's Degree,Public Affairs,Sciences Po Paris,2001,France,NaN,NaN,ENA Graduate
Justin Trudeau,Politician,Bachelor of Arts,Literature,McGill University,1994,Canada,31,NaN,Prime Minister
Neil Armstrong,Astronaut,Bachelor of Science,Aeronautical Engineering,Purdue University,1955,USA,99,NaN,Holloway Scholarship
Sally Ride,Astronaut,Doctor of Philosophy,Physics,Stanford University,1978,USA,3,NaN,First American Woman in Space
Mae Jemison,Astronaut,Doctor of Medicine,Medicine,Cornell University,1981,USA,21,3.8,First African American Woman in Space
Buzz Aldrin,Astronaut,Doctor of Philosophy,Astronautics,Massachusetts Institute of Technology,1963,USA,1,NaN,Presidential Medal of Freedom
Stephen Jay Gould,Paleontologist,Doctor of Philosophy,Paleontology,Columbia University,1967,USA,19,NaN,MacArthur Fellow
Rachel Carson,Marine Biologist,Master of Arts,Marine Biology,Johns Hopkins University,1932,USA,28,NaN,Environmental Pioneer
Jonas Salk,Virologist,Doctor of Medicine,Medicine,New York University,1939,USA,38,NaN,Congressional Gold Medal
Craig Venter,Geneticist,Doctor of Philosophy,Physiology,University of California San Diego,1975,USA,18,NaN,National Medal of Science
Jennifer Doudna,Biochemist,Doctor of Philosophy,Biological Chemistry,Harvard University,1989,USA,5,NaN,Nobel Prize in Chemistry 2020
Emmanuelle Charpentier,Microbiologist,Doctor of Philosophy,Microbiology,Pasteur Institute,1995,France,NaN,NaN,Nobel Prize in Chemistry 2020
Michael Jordan,Athlete,Bachelor of Arts,Cultural Geography,University of North Carolina,1986,USA,29,NaN,Athletic Scholarship
LeBron James,Athlete,High School Graduate,NaN,St Vincent St Mary High School,2003,USA,NaN,NaN,4x NBA Champion
Kobe Bryant,Athlete,High School Graduate,NaN,Lower Merion High School,1996,USA,NaN,NaN,5x NBA Champion
Tom Brady,Athlete,Bachelor of Arts,General Studies,University of Michigan,1999,USA,24,3.3,7x Super Bowl Champion
Peyton Manning,Athlete,Bachelor of Arts,Speech Communication,University of Tennessee,1997,USA,146,3.6,2x Super Bowl Champion
Tiger Woods,Athlete,Dropped Out,Economics,Stanford University,1996,USA,3,NaN,15x Major Champion
Roger Federer,Athlete,Did Not Attend,NaN,NaN,NaN,Switzerland,NaN,NaN,20x Grand Slam Champion
Simone Biles,Athlete,Pursuing,Business Administration,University of the People,2025,USA,NaN,NaN,7x Olympic Gold Medalist
Usain Bolt,Athlete,Did Not Attend,NaN,NaN,NaN,Jamaica,NaN,NaN,8x Olympic Gold Medalist
Megan Rapinoe,Athlete,Attended,NaN,University of Portland,2008,USA,NaN,NaN,2x World Cup Champion
Ernest Hemingway,Author,Did Not Attend,NaN,NaN,NaN,USA,NaN,NaN,Nobel Prize in Literature 1954
F Scott Fitzgerald,Author,Dropped Out,Literature,Princeton University,1917,USA,16,NaN,Great American Novelist
Toni Morrison,Author,Master of Arts,English,Cornell University,1955,USA,21,NaN,Nobel Prize in Literature 1993
Maya Angelou,Author,Did Not Complete,NaN,Various High Schools,1945,USA,NaN,NaN,Presidential Medal of Freedom
Stephen King,Author,Bachelor of Arts,English,University of Maine,1970,USA,NaN,NaN,National Medal of Arts
John Grisham,Author,Juris Doctor,Law,University of Mississippi,1981,USA,NaN,NaN,Bestselling Author
Dan Brown,Author,Bachelor of Arts,English,Amherst College,1986,USA,NaN,NaN,Bestselling Author
Margaret Atwood,Author,Master of Arts,English Literature,Radcliffe College,1962,USA,NaN,NaN,Booker Prize
Haruki Murakami,Author,Bachelor of Arts,Drama,Waseda University,1975,Japan,199,NaN,Franz Kafka Prize
Chimamanda Ngozi Adichie,Author,Master of Arts,African Studies,Yale University,2008,USA,11,NaN,MacArthur Fellow
Pablo Picasso,Artist,Art School,Fine Arts,Royal Academy of San Fernando,1897,Spain,NaN,NaN,Revolutionary Artist
Andy Warhol,Artist,Bachelor of Fine Arts,Pictorial Design,Carnegie Institute of Technology,1949,USA,NaN,NaN,Pop Art Pioneer
Frida Kahlo,Artist,Medical Studies Incomplete,Medicine,National Preparatory School,1925,Mexico,NaN,NaN,Iconic Artist
Georgia O'Keeffe,Artist,Art Studies,Fine Arts,Art Institute of Chicago,1908,USA,NaN,NaN,Modernist Pioneer
Ludwig van Beethoven,Composer,Court Musician Training,Music,Court of Bonn,1792,Germany,NaN,NaN,Classical Master
Wolfgang Amadeus Mozart,Composer,Private Tutoring,Music,Home Education,NaN,Austria,NaN,NaN,Musical Prodigy
Lady Gaga,Musician,Attended,Music,New York University Tisch School,2005,USA,38,NaN,Grammy Winner
Taylor Swift,Musician,Honorary Doctorate,Fine Arts,New York University,2022,USA,38,NaN,Grammy Winner
Beyoncé,Musician,High School Graduate,NaN,Alief Elsik High School,2000,USA,NaN,NaN,32x Grammy Winner
Reid Hoffman,Tech Entrepreneur,Master of Arts,Philosophy,University of Oxford,1993,UK,4,NaN,Rhodes Scholar
Peter Thiel,Tech Entrepreneur,Juris Doctor,Law,Stanford Law School,1992,USA,3,NaN,PayPal Mafia
Patrick Collison,Tech Entrepreneur,Dropped Out,Physics,Massachusetts Institute of Technology,2009,USA,1,NaN,Thiel Fellow
John Collison,Tech Entrepreneur,Dropped Out,Computer Science,Harvard University,2011,USA,5,NaN,Youngest Self-Made Billionaire
Kevin Systrom,Tech Entrepreneur,Bachelor of Science,Management Science and Engineering,Stanford University,2006,USA,3,NaN,Instagram Founder
Mike Krieger,Tech Entrepreneur,Master of Science,Symbolic Systems,Stanford University,2008,USA,3,NaN,Instagram Co-founder
Daniel Ek,Tech Entrepreneur,Dropped Out,Engineering,Royal Institute of Technology,2006,Sweden,98,NaN,Spotify Founder
Ada Lovelace,Mathematician,Private Tutoring,Mathematics,Home Education,NaN,UK,NaN,NaN,First Computer Programmer
Alan Turing,Mathematician,Doctor of Philosophy,Mathematics,Princeton University,1938,USA,16,NaN,Turing Award Namesake
Grace Hopper,Computer Scientist,Doctor of Philosophy,Mathematics,Yale University,1934,USA,11,NaN,Presidential Medal of Freedom
Katherine Johnson,Mathematician,Bachelor of Science,Mathematics and French,West Virginia State College,1937,USA,NaN,Summa Cum Laude,Presidential Medal of Freedom
John Nash,Mathematician,Doctor of Philosophy,Mathematics,Princeton University,1950,USA,16,NaN,Nobel Prize in Economics 1994
Andrew Wiles,Mathematician,Doctor of Philosophy,Mathematics,University of Cambridge,1980,UK,4,NaN,Abel Prize
Terence Tao,Mathematician,Doctor of Philosophy,Mathematics,Princeton University,1996,USA,16,NaN,Fields Medal
Maryam Mirzakhani,Mathematician,Doctor of Philosophy,Mathematics,Harvard University,2004,USA,5,NaN,Fields Medal 2014
Freeman Dyson,Physicist,Bachelor of Arts,Mathematics,University of Cambridge,1945,UK,4,NaN,Templeton Prize
Murray Gell-Mann,Physicist,Doctor of Philosophy,Physics,Massachusetts Institute of Technology,1951,USA,1,NaN,Nobel Prize in Physics 1969
Sheryl Palmer,Business Executive,Bachelor of Science,Business Administration,Texas Christian University,1983,USA,NaN,3.5,Fortune Most Powerful Women
Safra Catz,Tech Executive,Juris Doctor,Law,University of Pennsylvania,1986,USA,13,NaN,Highest Paid Female CEO
Ted Sarandos,Media Executive,Did Not Complete,NaN,Community College,NaN,USA,NaN,NaN,Netflix Co-CEO
Marc Benioff,Tech Entrepreneur,Bachelor of Science,Business Administration,University of Southern California,1986,USA,28,3.6,Salesforce Founder
Ray Dalio,Investor,Master of Business Administration,Finance,Harvard Business School,1973,USA,2,NaN,Bridgewater Founder
Carl Icahn,Investor,Bachelor of Arts,Philosophy,Princeton University,1957,USA,16,NaN,Activist Investor
George Soros,Investor,Doctor of Philosophy,Philosophy,London School of Economics,1954,UK,45,NaN,Philanthropist
Steven Spielberg,Film Director,Bachelor of Arts,Film Production,California State University Long Beach,2002,USA,NaN,NaN,3x Oscar Winner
Martin Scorsese,Film Director,Master of Fine Arts,Film,New York University,1968,USA,38,NaN,Oscar Winner
Quentin Tarantino,Film Director,High School Graduate,NaN,Narbonne High School,1984,USA,NaN,NaN,2x Oscar Winner
Christopher Nolan,Film Director,Bachelor of Arts,English Literature,University College London,1993,UK,9,NaN,Oscar Winner
Kathryn Bigelow,Film Director,Master of Fine Arts,Film,Columbia University,1979,USA,19,NaN,First Woman Oscar Director
Spike Lee,Film Director,Master of Fine Arts,Film Production,New York University,1982,USA,38,NaN,Honorary Oscar
Greta Gerwig,Film Director,Bachelor of Arts,English and Philosophy,Barnard College,2006,USA,NaN,NaN,Oscar Nominated Director
Jordan Peele,Film Director,Attended,Directing,Sarah Lawrence College,2001,USA,NaN,NaN,Oscar Winner
Denis Villeneuve,Film Director,Bachelor's Degree,Communications,Université du Québec à Montréal,1990,Canada,NaN,NaN,Oscar Nominated
Anderson Cooper,Journalist,Bachelor of Arts,Political Science,Yale University,1989,USA,11,NaN,Peabody Award
Rachel Maddow,Journalist,Doctor of Philosophy,Politics,University of Oxford,2001,UK,4,NaN,Rhodes Scholar
Christiane Amanpour,Journalist,Bachelor of Arts,Journalism,University of Rhode Island,1983,USA,NaN,Summa Cum Laude,Peabody Award
Bob Woodward,Journalist,Bachelor of Arts,History and English,Yale University,1965,USA,11,NaN,Pulitzer Prize
Carl Bernstein,Journalist,Dropped Out,NaN,University of Maryland,1961,USA,51,NaN,Pulitzer Prize
Katie Couric,Journalist,Bachelor of Arts,American Studies,University of Virginia,1979,USA,25,NaN,Edward R Murrow Award
Wolf Blitzer,Journalist,Master of Arts,International Relations,Johns Hopkins University,1972,USA,28,NaN,Emmy Award
Lester Holt,Journalist,Attended,Government,California State University,1982,USA,NaN,NaN,Edward R Murrow Award
Norah O'Donnell,Journalist,Bachelor of Arts,Philosophy,Georgetown University,1995,USA,231,NaN,Emmy Award
Jake Tapper,Journalist,Bachelor of Arts,History,Dartmouth College,1991,USA,11,Magna Cum Laude,Emmy Award
Coco Chanel,Fashion Designer,Convent Education,Sewing,Aubazine Abbey,1901,France,NaN,NaN,Fashion Icon
